にぎりずしさん（仮名）,何か一歩踏み出したい時に読み返したい本になりました。誰が読んでも勉強になる大事なことを再認識させてくれます。
ぽんさん（仮名）,日常では勇気について考えたりする機会はあまりありませんが、この本を読んで勇気は人を成長させてくれる大切な感情だと思い出させてくれました。
どらやきさん（仮名）,勇気は誰の中にもあり、時に大きな変化を与えてくれるものだと改めて考えさせられました。いろん勇気の形があり様々な場面があると思いますが、もし自分に勇気が必要になったらこの本の力を借りたいと思います。
